,people_vote,rating
0,60.0,7.00342926614
1,73.812939795,8.10204946025
2,87.0964812945,8.96948467548
3,70.6982139074,7.50663546952
4,71.9635920797,7.36668283397
5,77.3247804689,9.14523852507
6,66.2177437571,7.30508685733
7,76.9679475362,7.67626996656
8,71.5449835116,7.53219866516
9,87.7373008777,8.91985759099
10,0.0,8.27786413094
11,72.2267421691,7.43883058498
12,73.6786488624,7.16264578638
13,65.9382892655,7.28296276056
14,69.9184487407,8.17458397918
15,81.2156101369,8.35166408376
16,90.686229139,9.3111039062
17,89.7662936922,8.97123663602
18,92.0,8.71625322527
19,72.2402562002,7.79657182161
